data_inversa;dia_semana;br;km;causa_acidente;tipo_acidente;fase_dia;condicao_metereologica;mortos;ilesos;feridos
2007-09-07;Segunda;174;2.2;Outras;Colisão lateral;pleno dia;ceu claro;0;1;0
2007-07-15;Domingo;174;10.5;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;2;0
2007-07-19;Quinta;174;0.2;Outras;Colisão frontal;plena noite;ignorado;0;1;0
2007-07-19;Quinta;174;21.3;Animais na Pista;Atropelamento de animal;plena noite;ignorado;0;2;0
2007-07-22;Domingo;174;77.4;Defeito na via;Saída de Pista;pleno dia;ceu claro;0;4;0
2007-07-28;Sábado;174;10.0;Falta de atenção;Colisão lateral;pleno dia;nublado;0;3;0
2007-07-29;Domingo;174;10.5;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;1;1
2007-12-08;Domingo;319;1.0;Falta de atenção;Colisão com objeto fixo;pleno dia;sol;0;1;0
2007-08-17;Sexta;174;37.2;Outras;Saída de Pista;pleno dia;ceu claro;0;1;1
2007-08-18;Sábado;319;0.0;Defeito mecânico em veículo;Colisão com objeto fixo;pleno dia;ceu claro;0;1;0
2007-08-20;Segunda;174;28.0;Desobediência à sinalização;Colisão traseira;pleno dia;chuva;0;2;0
2007-08-25;Sábado;319;0.0;Falta de atenção;Colisão lateral;pleno dia;ceu claro;0;2;0
2007-08-26;Domingo;174;60.3;Ultrapassagem indevida;Saída de Pista;pleno dia;ceu claro;0;1;0
2007-08-26;Domingo;174;50.4;Defeito na via;Colisão lateral;pleno dia;sol;0;9;0
2007-02-09;Domingo;174;14.5;Outras;Colisão traseira;pleno dia;chuva;0;3;0
2007-06-09;Quinta;174;55.3;Defeito na via;Capotamento;pleno dia;ceu claro;0;2;0
2007-07-09;Sexta;319;0.9;Outras;Colisão com objeto fixo;pleno dia;sol;0;5;0
2007-07-09;Sexta;174;35.0;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;3;0
2007-07-09;Sexta;174;52.4;Defeito na via;Colisão traseira;plena noite;ignorado;0;2;0
2007-12-09;Quarta;174;25.0;Falta de atenção;Saída de Pista;pleno dia;ceu claro;0;0;1
2007-09-15;Sábado;174;68.7;Outras;Saída de Pista;pleno dia;ceu claro;0;1;2
2007-09-22;Sábado;174;28.4;Falta de atenção;Colisão traseira;plena noite;ceu claro;0;4;0
2007-09-23;Domingo;174;3.6;Não guardar distância de segurança;Colisão traseira;pleno dia;ceu claro;0;5;0
2007-09-30;Domingo;174;1.0;Ingestão de álcool;Colisão traseira;pleno dia;ceu claro;0;1;1
2007-04-10;Quinta;319;1.0;Falta de atenção;Colisão lateral;plena noite;ceu claro;0;2;0
2007-07-10;Domingo;319;40.0;Falta de atenção;Saída de Pista;anoitecer;ceu claro;1;0;3
